#ANALYSIS
AN:ANALYSIS_TYPE                 	MS
#CHROMATOGRAPHY
CH:CHROMATOGRAPHY_SUMMARY        	Targeted IC
CH:CHROMATOGRAPHY_TYPE           	Targeted IC
CH:COLUMN_NAME                   	Dionex IonPac AS11-HC-4um 2 mm i.d. x 250 mm
CH:INSTRUMENT_NAME               	Thermo Dionex ICS-5000+
#COLLECTION
CO:COLLECTION_PROTOCOL_FILENAME  	mouse_tissue_procedure.pdf
CO:COLLECTION_PROTOCOL_ID        	mouse_tissue_collection
CO:COLLECTION_SUMMARY            	Mouse is sacrificed and tissues are harvested.
CO:SAMPLE_TYPE                   	mouse
#METABOLOMICS WORKBENCH ANALYSIS_ID:AN000000 STUDY_ID:ST000000
CREATED_ON          	2023-05-04
VERSION             	1
#MS
MS:INSTRUMENT_NAME               	Orbitrap Fusion
MS:INSTRUMENT_TYPE               	IC-FTMS
MS:ION_MODE                      	NEGATIVE
MS:MS_COMMENTS                   	ICMS Analytical Experiment with detection of compounds by comparison to
MS:MS_COMMENTS                   	standards. 
Thermo RAW files are loaded into TraceFinder and peaks are manually
MS:MS_COMMENTS                   	curated. The area under the chromatograms is then exported to an Excel file. The
MS:MS_COMMENTS                   	area is then corrected for natural abundance. The natural abundance corrected
MS:MS_COMMENTS                   	area is then used to calculate the concentration of each compound for each
MS:MS_COMMENTS                   	sample. This calculation is done using standards. The first sample ran on the
MS:MS_COMMENTS                   	ICMS is a standard that has known concentrations of certain compounds. Then a
MS:MS_COMMENTS                   	number of samples are ran (typically 3-4) followed by another standard. The
MS:MS_COMMENTS                   	equation to calculate the concentration is "intensity in sample"/("intensity in
MS:MS_COMMENTS                   	first standard" + (("intensity in second standard" - "intensity in first
MS:MS_COMMENTS                   	standard")/# of samples) * "known concentration in standard", where the
MS:MS_COMMENTS                   	"intensity" is the aforementioned natural abundance corrected area, and the
MS:MS_COMMENTS                   	unlabeled intensity from the standard is used for all isotopologues of the
MS:MS_COMMENTS                   	compound. The reconstitution volume is simply the volume that the polar part of
MS:MS_COMMENTS                   	the sample was reconstituted to before going into the ICMS. The injection volume
MS:MS_COMMENTS                   	is how much of the reconstitution volume was injected into the ICMS. The protein
MS:MS_COMMENTS                   	is how much protein was in the entire sample (not only the small portion that was
MS:MS_COMMENTS                   	aliquoted for the ICMS). The polar split ratio is the fraction of the polar part
MS:MS_COMMENTS                   	of the sample that was aliquoted for the ICMS. This is calculated by dividing the
MS:MS_COMMENTS                   	weight of the polar aliquot for ICMS by the total weight of the polar portion of
MS:MS_COMMENTS                   	the sample. The protein normalized concentration is calculated using the
MS:MS_COMMENTS                   	equation, concentration * (reconstitution volume / 1000 / polar split ratio /
MS:MS_COMMENTS                   	protein).
MS:MS_TYPE                       	ESI
#MS_METABOLITE_DATA
MS_METABOLITE_DATA_START
Samples	16_A0_Lung_naive_0days_170427_UKy_GCH_rep1-polar-ICMS_A	17_A1_Lung_naive_0days_170427_UKy_GCH_rep2-polar-ICMS_A	18_A2_Lung_naive_0days_170427_UKy_GCH_rep3-polar-ICMS_A	19_B0_Lung_syngenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	20_B1_Lung_syngenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	21_B2_Lung_syngenic_42days_170427_UKy_GCH_rep3-polar-ICMS_A	22_C1-1_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	23_C1-2_Lung_allogenic_42days_170427_UKy_GCH_rep2-polar-ICMS_A	24_C2-0_Lung_allogenic_42days_170427_UKy_GCH_rep1-polar-ICMS_A	25_B1-0_Lung_syngenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	26_B1-1_Lung_syngenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	27_B1-2_Lung_syngenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A	28_C1-1_Lung_allogenic_7days_170427_UKy_GCH_rep1-polar-ICMS_A	29_C1-2_Lung_allogenic_7days_170427_UKy_GCH_rep2-polar-ICMS_A	30_C1-20_Lung_allogenic_7days_170427_UKy_GCH_rep3-polar-ICMS_A
5-L-Glutamyl-taurine-13C2	49939.84174866691	49567.86157372418	23196.97310927667	59521.8124015496	30555.04583375643	123824.8494555397	275285.7023373639	109151.5684490358	97329.67854782462	35500.04483791997	35129.8286195992	36233.66960876246	58898.17880953526	47398.26857197638	52925.79939119746
5-L-Glutamyl-taurine-13C3	48173.0019932533	65880.715476801	66194.66297071692	32664.84249326242	36030.5059618083	94568.79988068435	119195.3991695992	44802.56433531363	92447.98548506024	32290.81796290722	28776.51256085256	42857.59066766323	25229.24678544814	56912.57392667453	62061.41103529386
5-L-Glutamyl-taurine-13C4	2026.281520158758	7333.805407514389	5217.981382945685	9932.989427257904	2451.285693469324	12315.8259514061	28579.09861404397	10300.03564919433	15465.46343033665	2006.645841281259	801.0653022456352	4916.010112979627	4804.366275541405	29514.1751559143	19481.25562405348
5-L-Glutamyl-taurine-13C5	3020.220494845624	9127.46236270576	1972.943272540839	1792.302340631033	1228.229343925067	3461.824234751515	9310.043077780898	5479.658724935859	12967.28302362131	1252.301880531791	1228.603051733322	6071.568839194882	3092.754009193512	21186.9190456133	11717.11484450104
5-L-Glutamyl-taurine-13C6	12253.5572957591	1054.783577916283	2284.334646397436	2506.327458715265	1078.459557185002	1761.417737904341	3823.338115562781
5-Phosphoribosyl-N-formylglycinamide-13C0	18505.54593373709	7225.100262859813	16939.90459749739	16308.46088338234	6674.69459251757	6177.266174866738	9445.532641920741	9148.932251360873	2961.231117514216	21684.93103442126	37970.47124805407	2315.45696555666	6632.668711706772	3210.594985608788	1705.218673484603
5-Phosphoribosyl-N-formylglycinamide-13C1	9762.053195213015	8398.290869291437	793.1207508204501	11870.1988182661	5997.007916697453	10402.56784415311	7075.358603164035	3033.106048171399	28792.80316391407	26918.29760308448	4111.280292769285	7756.434767441787	1140.800456559401	2305.466685346528
5-Phosphoribosyl-N-formylglycinamide-13C2	4579.339959910517	14088.10676077727	3329.15538695042	9120.107874792831	5757.024988266035	4778.817223427079	9563.199687973378	9437.074712250142	14154.49155734562	25601.00387373039	18345.97846612821	3434.308924735477	28250.36443885019	5201.370145672013	15537.42232858836
5-Phosphoribosyl-N-formylglycinamide-13C3	20530.05690129129	28009.42902958783	71752.14534638211	65399.65552603284	57951.15021928657	50463.65150839907	17007.44419304682	10089.19607129243	38160.03702637134	57640.95384021958	70705.6493322927	44141.63163613652	56835.63445059284	36486.94672808667	19565.15233007792
5-Phosphoribosyl-N-formylglycinamide-13C4	2437.559648021206	21402.04704970558	22787.45962462192	5016.24255418209	8636.415960063414	12603.64454354754	12107.77197623549	7442.331050471959	20678.21371428656	13563.39661822884	13842.94507075886	6731.46294319049	26183.89762330017	18406.12627952113	10502.00403157404
5-Phosphoribosyl-N-formylglycinamide-13C5	16318.45140176871	57023.9710725544	47441.39836274577	13735.6555766103	9905.67143336178	23429.90791510522	16124.13869768647	10734.00337770865	88174.38472028873	9717.149695052753	16995.97181592402	36582.81233332386	52767.22357186949	88928.40052048242	94672.37818740399
5-Phosphoribosyl-N-formylglycinamide-13C6	1815.146467225832	9082.442165168954	9208.776330642442	2474.190512981991	10407.43686801876	3255.199372731158	3321.622336553979	1292.794206518002	22140.21330314499	4616.057797063874	8176.910712329513	10131.76870867818	8225.295198072312	17700.69419103716	27915.35553753834
6P-gluconic acid-13C0	438320.5099469975	79223.03225850812	20823.35685566528	993469.2302934557	66854.05801436632	204552.1738862343	1123381.555490727	8575009.959677022	78653.65288014601	134672.645511384	699711.9755331142	25702.73787978716	114719.6376713331	41231.17576713957	168875.0194786301
6P-gluconic acid-13C1	100897.324349553	23261.67216880148	6272.309187356357	184698.151080209	24640.08589423198	169560.5305253707	988673.9468401623	7197553.193269976	31957.46658860331	112658.9913090706	272245.5097606096	13927.74170346076	57264.14573583807	13168.31518194606	74088.11716649133
6P-gluconic acid-13C2	163722.4544331697	39575.48380312396	28795.98732270162	168003.9257579126	39353.96820227324	284334.1996415228	1409215.999328291	7912156.841129056	78486.66190061967	102266.1316505796	214849.6024630475	34456.51678345852	96057.41929579488	14426.09379571592	202716.6649498183
6P-gluconic acid-13C3	241161.2387173973	92117.51107462957	46614.50570573269	276468.3618434523	72329.0132777519	588102.949560442	2197359.148496789	9490659.67285288	391598.7956626774	137904.7228418442	344391.842133326	99765.23008188004	147881.7621767609	44513.72694408918	1202092.520919406
6P-gluconic acid-13C4	136820.518410962	76155.36337236017	87477.52031369953	160883.4659790926	64685.22272827342	344536.0493598756	1542392.888520653	5507784.632233811	237791.3848582492	121512.2934415623	155668.4038907166	111856.0278749218	133255.0701232248	66445.35218083812	702555.5035127396
6P-gluconic acid-13C5	113805.0413106282	117345.5691636764	99505.13276094761	106295.9679379696	118167.0139452835	380579.8739687985	1474485.60526319	3832120.117685695	455506.5988610887	93336.12427910641	140023.005534953	163287.136286778	181802.8931598971	81356.03340007433	1571753.625221497
6P-gluconic acid-13C6	322212.4083607013	562192.3541079042	383153.0690336287	265208.1067930919	333396.3197944233	772999.9402477085	2514904.694506354	5586562.222169668	3008872.18156661	241802.1659759054	294711.4070272008	1087546.342039181	439201.1987494894	812351.515005917	7763490.07506489
ADP-Ribose-13C0	697821.2786419463	361824.212259612	315493.9755526302	482305.8910042083	292876.6177192497	245790.4510274912	226262.0725837985	453569.7482137256	499456.3599395166	426639.2834856961	360004.8751455422	196530.995304502	160406.2980404516	134431.1645318736	175728.4800194132
ADP-Ribose-13C1	34001.48365430086	0	0	18885.39513818481	0	0	26879.35563404004	58659.18065889301	0	3946.699121786698	0	0	0	0	0
ADP-Ribose-13C10	1817.182482047035	516.5091785413415	8337.401633432428	5717.371645966137	2535.169707076311	7597.018057452371	18654.20291907486	4632.559008694921	3824.068168672646	4863.978243706666	3048.135417670993	4520.263187886197	7977.651813515342	15192.62118330212	14918.17386769983
ADP-Ribose-13C2	80478.50909661024	25161.01325894538	8245.743592453071	49014.81956716584	20271.65191107598	57736.70543614433	101332.5732724054	107911.4343493917	37941.98289830457	51925.51731611476	35270.54102886232	11882.99712415156	26226.0264912211	15479.43181571023	37758.34256399237
ADP-Ribose-13C5	177075.8770408131	139277.016718774	147062.952412011	111660.0325111077	144694.1685738866	208346.7754186324	294327.6394676421	184862.0003170036	225044.7774176158	190161.4220179483	119829.7842112161	107404.2123885757	126953.1066483339	273919.430619224	316614.6000815611
ADP-Ribose-13C6	0	0	0	0	0	0	14.79739939398237	0	0	0	0	0	1084.305682786447	0	0
ADP-Ribose-13C7	4084.358491777776	3467.33122557867	1974.414867654839	7552.104437861432	6567.393289677458	8622.35728035587	20290.93561273219	8934.015398581918	7663.919582702025	5117.610839991603	6031.227349501241	5609.847423880141	168.9122476907015	2625.977504628635	3032.615624031714
ADP-Ribose-13C8	1609.427038754977	2170.851009980991	1307.764068100736	4560.613797068979	7523.844376583127	15007.20359569078	5748.866183964188	1770.029261914867	3014.802274937601	1872.62616970129	582.4300199207032	4335.091704126919	2259.222946730049	6245.016897048999
ADP-Ribose-13C9	1943.491875871932	832.7914510382866	2343.53583236721	2980.694569078086	3959.911506965206	8132.439093194466	10420.59200309817	3402.097643190135	2289.497155600653	2262.839630152842	2193.968241965513	1091.083625540373	4401.613040846012	1185.962649796791	7827.727682910922
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C0	5285890.637178553	3045699.518009298	2856781.801331293	4556514.07339925	3035559.748071325	4990877.787464491	3061684.362237048	3761853.733703412	3841121.793246607	3757175.385414874	3960386.668786925	3160628.452988916	2684336.88142421	2010072.503440507	2873572.74028749
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C1	268600.412922506	0	0	343672.8725019999	0	0	266454.0275169326	580427.3634333479	33893.25607034066	153916.8760524813	100744.6941938884	0	26909.54012674467	0	0
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C10	16953.64966918813	51355.0880905001	22651.15471062256	35392.6877073241	48466.97674694259	98599.35569801788	131199.5476708208	36102.73304509674	70674.09963533247	31165.13682963296	18555.5345207133	64153.95438197874	70492.09899906325	99116.39856813398	108548.499364408
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C11	23886.54620763772	66360.1282944244	64656.30414763765	24841.09047202271	79366.84210928404	140518.2592630689	163139.5906234504	27786.44712115115	90191.97014383225	49384.57095303497	29092.50675944965	147187.2022264843	87255.59963364906	362195.2304848693	334016.7710163736
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C12	5198.921926575722	12262.2062699456	11470.22732443513	3272.162067941368	22904.11977468287	46702.41980040317	20023.46559629069	4993.232203073764	17731.97369327638	4815.978400104643	3239.327243377649	19135.2660509513	34548.08817545566	103717.5519751163	107617.0867638858
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C13	1229.97195393911	2018.943739541756	5499.943609050845	1743.60493751132	8619.93485303592	5664.231849479953	12337.53779244337	954.2491396641684	4594.504312876903	2529.60702616144	15632.03488010317	11676.11337736775	45910.26308970895	44418.96005240247
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C14	637.1170282330897	1626.653695616343	750.0274391985553	5725.991847978054	1282.509769033478	1173.596240750666	968.0733796376693	2160.351390850828	17542.04490540266	20669.41523366649
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C2	378784.9465019763	111945.0204679707	164147.9517001666	435791.0709381921	153157.4853488222	422952.5667785989	527026.586205887	641021.1684965022	307934.4835735609	393687.3724413372	293722.7964537928	148747.0121058575	218204.5539394534	65596.5039186321	147829.8102437032
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C3	469829.7583915911	235146.4658710368	227177.2280651528	527073.3396176057	232304.3111535587	771127.4930303422	726108.6614043706	710880.5903707553	367274.0663349011	407321.7060517906	328949.9515277389	187230.007285996	318988.0275870707	132318.5206881175	283681.1834697342
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C4	250714.1860180188	156533.2298705682	181591.1560675968	288404.2443415733	202171.8090702687	556730.1342143402	611861.9981327964	545917.2575195195	307165.3957523733	251529.4468207603	200172.845193922	169037.9753403821	249334.65045416	101798.2240806882	200798.3027508772
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C5	594115.0653689381	660684.5372124868	355734.5731323166	612264.4961781655	601213.3801067892	1417539.924003093	1164631.912661733	659420.5750171574	817860.6214951517	613075.9113254922	495568.4953137902	612510.7486177586	532091.1728719025	596907.9093813623	989696.2384171936
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C6	916238.0363023429	1105121.29158011	650242.2804102298	960730.8742965079	1373893.839995111	1982260.627366772	1393997.297659696	851934.2490086544	1374659.252743149	1001976.970937073	759432.3062250603	1536519.576616208	1240059.991831418	2071946.085344188	2170374.085575734
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C7	19200.02301314687	0	64726.35551735629	21885.82261249136	0	2433.36406277611	200303.2605453879	62513.4065107727	0	0	42298.29639986914	0	58844.14720964492	0	13531.96362064257
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C8	42136.21981489615	59523.26043626905	50050.44542455506	74763.53119204576	82140.10638971426	167594.3958131808	194826.9995622981	67667.1370965738	75492.20339211641	47085.84546687108	42070.09867436231	87176.0601428409	136814.7460596938	101671.3566592313	136965.91097224
ADP-glucose ADP-Mannose GDP-D-Rhamnose GDP-L-fucose-13C9	22499.42262896728	35650.70961682947	34416.80702223762	23602.35780559001	44812.33819020358	81267.20226517253	140244.2498924846	42983.9497602822	53790.58266052091	47813.47412194275	29343.52677607681	47843.70733409653	59275.29899015318	98321.89702673802	103971.2113029758
ADP-ribose 2-phosphate-13C0	14408131.50539613	11611280.38560269	14269515.91754232	10288648.3671588	8926481.974706657	5466423.789865479	984810.3735530762	2527333.684288259	6922871.588943137	10903429.75641815	11470217.74146782	10158158.89113918	5250723.26083859	6945439.427268814	7478892.553171721
ADP-ribose 2-phosphate-13C1	121300.2896780644	0	0	381607.3380342179	0	36262.07845031717	23944.66941379795	86175.50639122429	0	0	78598.7416809645	0	85845.04978993454	0	47570.03402643309
ADP-ribose 2-phosphate-13C10	103555.6292531316	80404.4848735353	120030.2365640841	47576.16442378175	123856.1903878153	172079.5909637053	43274.33454573256	26722.95809601215	46162.8374654576	72890.1528833432	78792.14717395116	94494.05635650738	119111.5375662942	333410.8221602727	392608.5551302294
ADP-ribose 2-phosphate-13C11	168089.7576764382	110686.0204451297	210086.0233624911	46030.64104212615	53038.77715718313	92023.38760678156	29736.5240323094	30500.0188008575	45415.71159299687	57641.38182971482	63840.23353236805	48979.52487332739	55847.34305963637	264699.6012030325	144636.4440734493
ADP-ribose 2-phosphate-13C12	18986.24273570927	22922.35447796241	35085.1819373859	8926.8322533731	22401.19319402668	23222.46594179857	5511.949726879458	3540.610002318281	9438.010412363647	18468.23919529646	16098.0422283644	14743.99217563266	14813.27246806936	73417.93774697949	47892.39724523846
ADP-ribose 2-phosphate-13C2	891288.9562852167	623945.5209225381	539920.8366230915	839862.1927716895	423955.7390183776	826342.267413725	176663.1993428102	326293.5829866747	526295.9327772276	681011.0495615862	603728.0587683283	483811.0909236291	543550.8100684637	493715.9428955702	957577.1545442721
ADP-ribose 2-phosphate-13C3	197861.0682787483	149945.3676332058	290912.6692973882	439331.4673314492	187229.2379556761	392971.5678702969	154457.0143443972	197598.0086969125	174425.5303328316	306132.6554464342	260830.0116656487	248266.0202979654	395122.2452988176	250699.1454750671	445717.4414646146
ADP-ribose 2-phosphate-13C4	614038.3280539812	492758.8809406121	524664.5111966132	713358.3792744968	408314.4446747946	899986.8862228497	218718.2793204985	265553.4771346301	403702.1413854599	538283.5320659804	675695.301015377	440890.1940746765	593666.6131610125	872351.2646307963	1042268.113714123
ADP-ribose 2-phosphate-13C5	2613959.479162958	2559341.79688365	2804821.359726045	1893218.326711735	2674783.125441286	3357684.744707822	786926.344292873	779409.1377939781	1909526.076485272	2546932.290302586	2446961.861686877	2678782.183729038	2342332.482682652	5789829.064662696	5390477.400871512
ADP-ribose 2-phosphate-13C6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ADP-ribose 2-phosphate-13C7	91007.93854083438	71574.81282076429	102937.7022749937	81648.43443646334	72728.53501900133	173946.5068527188	33765.39081635763	52220.30647777445	67234.09742257094	125520.1990954695	81403.0075930477	93367.46885138005	99358.11803423756	164180.9295171687	163263.3829322678
ADP-ribose 2-phosphate-13C8	73640.46728033513	51751.84518033324	94636.86544031586	59840.26927782104	61902.04336893823	98425.71225801442	32353.26469758451	25544.45030717466	35047.93197796723	67414.3399587661	54195.75600224656	60012.6671013699	70610.20151195714	113465.5335576563	137522.3314696277
ADP-ribose 2-phosphate-13C9	119870.9687746107	218313.1288836352	537872.0905815428	115827.0704728288	105524.9000707588	110366.2568908445	54203.81733694042	72204.28843881462	100786.101146268	146182.3717546738	114650.0342733078	84084.34239874431	34171.33986987046	41738.57494023662	36593.06767580429
ADP@mzAMP-13C0	252840193.3573064	179625514.6901475	231420969.8975766	225261522.1652872	160666767.3595617	267193329.371049	200530443.7433872	246460108.2845917	243033904.7054545	200469757.1504313	176118662.9920671	196670096.8594441	157331819.2898252	156193616.2122931	197908833.9543262
ADP@mzAMP-13C1	4855518.785137506	1791706.329884054	2512633.117760654	7375257.716030303	1586275.997324206	5112684.976026009	6122751.47960017	7161317.791836667	4720515.821009939	4733481.177843253	4976686.208373096	2770338.204698002	4912162.539930649	1048968.924163758	2951944.285173602
ADP@mzAMP-13C2	6212351.345392012	3462233.871157795	5303246.005669222	8746878.660373513	3554149.136985302	9473663.629964927	10120935.41983951	9765996.75819329	7662707.745158086	7634836.102815537	6382927.911797412	5474598.400262309	7036260.196670286	2794568.972466045	6105747.655817257
ADP@mzAMP-13C3	4329626.026702167	2565564.263063455	4480243.884518802	6281847.960007132	2781688.17996203	8457616.718398053	9626657.023167476	7218970.205316333	5355168.721182603	5976460.222939143	4807152.208429387	4002947.799189875	6628231.524733247	2687706.945118836	5653058.201825253
ADP@mzAMP-13C4	4849607.036564144	4065111.291326606	5032099.254136386	6469670.140434186	4058281.82753492	10627702.05605399	10834108.28409747	7227160.320604751	6900081.441658488	6843679.666094826	5199357.041206124	5851696.731140775	7208663.19662138	4320547.579007081	7530395.742496382
ADP@mzAMP-13C5	12698472.20720727	13524093.28207043	18148815.38145973	12481784.75436655	14874276.38547277	25316211.55559088	24019504.14661328	14126424.09309718	19982831.53790871	17405765.82111512	13906917.45470484	20386427.04002146	15869571.41628069	20062467.28265773	24716472.25945729
ADP@mzAMP-13C6	3974493.258875102	5755133.907560608	7179744.153777292	3385365.790792874	6252312.88240204	10931085.3798501	11472477.98591273	4763127.065571197	7451157.132497132	5726503.853274682	4334107.580380685	8020075.593238363	8284049.078920176	14229741.27556715	14956728.99553725
ADP@mzAMP-13C7	460820.0683865242	859918.8945595528	1077423.38843689	271199.9448734867	840535.8332219552	2401796.028008491	1916688.514523389	566753.0959489862	856084.7584631908	637525.8511802823	601449.3447884545	1180252.696574848	2448091.563593856	6344703.066676729	6303838.835978534
ADP@mzAMP-13C8	133648.6666682108	219428.4322867098	226046.5466352852	96462.97440448323	220431.0474268819	358708.1837657248	255771.0523060776	199044.9885637242	184010.2321570686	130846.6400741746	103930.9481875486	276651.2083782676	500394.0288702298	1858749.030335135	1853728.68246719
ADP@mzAMP-13C9	28041.13306413557	38680.69617206402	47172.71138954497	253.7668240993809	193.5820489849401	79314.6373130263	46248.16262432878	0	20328.81370890802	11867.14331961023	25359.80862936713	41761.34247682794	167224.1295223279	471791.6289930821	491323.2125730791
AICAR-13C0	22922.22324674535	6981.981479077402	5234.790456892229	33028.98769549622	4021.578825951222	3028.726204367217	11444.2121226722	18061.03678213326	2076.131384781161	44437.59003954169	53302.34204191962	1197.353115607803	8311.586896355648	0	1089.638958063297
AICAR-13C1	24975.40505036518	1970.788660347976	30384.78378440857	7876.829805150513	11063.10359878694	17226.49121875959	25884.72389092348	537.8666541506698	54347.22273743757	58963.46096803803	14219.12916996945	1885.502505028926
AICAR-13C2	19382.44029778707	16559.99406804977	12609.76267736472	11268.28696720371	11212.98118067086	20272.1055034578	19427.04667111076	19331.85193150533	3525.487786063721	59288.31619833282	35732.60843762661	1095.702137328585	28274.70114319594	1186.908467549014	2779.804125758046
AICAR-13C3	16900.90529507458	17181.72141128837	15057.12119718495	24798.94884370964	17430.53775196332	26202.32396188425	18492.79752659652	14603.6646501875	9758.688545283672	39613.03391470579	38885.42640008408	1606.513324689887	46475.21970690863	6043.242213443566	5563.487396395927
AICAR-13C4	15822.9101628837	17857.70937196601	16203.65389981553	10996.80219899386	12909.6522715198	8269.958279128781	17850.17813926643	15260.67841761933	9789.469527176196	36888.61230532584	22544.17026512965	5546.37427327883	44766.9097849238	677.103772674173	18191.52855145089
AICAR-13C5	15203.37772137397	41739.14938225121	101611.3610722556	7392.637813095265	28995.46375638693	17538.8115461033	22851.4368702621	14920.163810545	48827.15473174053	31115.01912446471	12787.33261370509	27444.01166182556	60893.27460918712	32054.12948854062	54687.53751045501
AICAR-13C6	5620.676694329839	26594.44326222053	63028.11736169101	2841.782403683124	14417.55596752887	2415.485305515972	9940.736697581096	5187.101194486967	65304.37692900171	6959.195959235709	999.7913538172044	36532.78332301443	38443.96092968014	38140.4779305146	59580.40440823357
AICAR-13C7	4291.501074833847	595.2111343033062	704.9669816216231	2299.278681002274	1643.133619995992	3492.54558732454	7113.722376056856	3733.851740700908	2519.104568775199	6019.387228453974	18524.98932757353
AMP-13C0	164670740.8453461	107349432.2618482	185212345.3184883	112104718.7477628	78985830.18435857	125287297.6326689	134596592.0571137	187379206.6583238	138583538.1973092	109432765.6654834	84316108.4698259	125297122.2937262	88971833.11601375	83026818.47875927	91718876.93926242
AMP-13C1	0	0	0	0	0	0	2356969.066258287	4327150.331303788	0	0	0	0	0	0	0
AMP-13C10	14988.98702592926	10353.63129613896	17574.68441967607	1749.035527213601	2699.482170301364	1847.645586157808	318.7723993586686	814.8902316232746	1602.777519581592	2016.379999589878	4806.305760228342	2120.049218772242	3189.423324752068	15271.49942964666	12292.85412381555
AMP-13C2	2506644.546005197	1030369.909575822	2017435.592757745	2081006.223743852	486188.6022047969	1779402.026483878	5231771.872809061	5909068.314233633	2153288.6798623	1868876.690595347	1092711.954948755	1432359.199652511	1667050.993965545	416646.0723279539	1011172.908376532
AMP-13C3	2002408.136326573	1013489.24790837	2339510.605410506	1667798.883824469	638815.4637409945	1845550.418867012	4899108.232254551	4448570.2506404	1706914.030563852	1445270.632772502	930186.4743449946	1228326.276213916	1664175.549417971	625919.6030551505	1222694.538797041
AMP-13C4	2219763.441574472	1461479.254503894	2596045.668682554	1675348.988825957	828368.295053585	2178752.583874219	5738691.527426314	4261471.194036271	2161337.148351955	1889088.114317192	961286.7181009218	1796166.423532918	1831919.070492131	964943.7244939635	1655137.219642148
AMP-13C5	6540438.667941288	5967973.303895258	10024518.26454052	3970514.452931377	3900416.59188358	7327848.950724863	14061574.80537707	9151144.526930807	8068235.546488405	5910145.013465866	3291056.567487774	8459461.543067582	5459535.98289072	6301139.179914422	7489814.913891653
AMP-13C6	2204352.61142035	2399657.086986491	4195805.201698989	871571.3547988398	1265938.254045071	2331386.004802661	5815032.11405105	2884961.174698165	2179394.737043687	1555624.131759613	861271.886158018	2447233.783988926	1967461.248439917	3748921.128502467	3724129.164001042
AMP-13C7	658879.6843616031	728585.6479365616	1659088.243386552	203870.1685376561	315093.3893145029	622301.8272048054	1027212.418263294	494965.218434168	331570.8777598931	253008.9988609104	140092.7717874266	463220.1661062064	551019.0526851197	1317296.758912483	1126792.757287555
AMP-13C8	272801.9137193634	284826.514044023	785285.7668316094	43754.19967762809	80985.75389659508	126213.5142824604	160846.405179721	84706.71269519346	56032.03951166316	44411.01959152533	20300.0935493465	105666.7277076837	174205.0372967263	433398.5432940939	360714.4618229719
AMP-13C9	85864.96798674916	91729.04575643761	226346.8799602137	11224.95881167836	7675.706384914455	13331.92122672973	29392.23293383434	14096.00052166496	5275.600566845331	5782.896207507063	1903.093212297602	7360.87753650075	22470.13911911768	105279.6480841578	159774.6163833539
AP3A-13C0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ATP@mzADP-13C0	2399898185.622986	1888309399.720076	2101285971.544774	2374590576.402635	2518168159.321763	3618715501.925084	1187127242.815538	1539566463.728723	2278449000.633061	2304890053.413587	2380182588.300428	2060105243.118978	1701672310.386662	1701370889.704219	2136374563.823567
ATP@mzADP-13C1	92097387.42277873	47407677.48897409	60569658.50339299	117403826.3293383	63840343.80739195	118404261.4884408	51688834.58249273	69303162.57305606	75987594.36157963	99196591.53436941	111283753.9712715	61016950.43005599	82650755.44200197	36793696.17392444	64294566.1593643
